APN,COMMUNITY,SITUS,LAT,LONG
501-92-100,GREENWAYPARC1,15779 W CARIBBEAN LN SURPRISE 85379,33.62307124,-112.400124
501-92-101,GREENWAYPARC1,15773 W CARIBBEAN LN SURPRISE 85379,33.62302156,-112.3999093
501-92-102,GREENWAYPARC1,15342 N 156TH LN SURPRISE 85379,33.62338071,-112.3990112
501-92-103,GREENWAYPARC1,15354 N 156TH LN SURPRISE 85379,33.62356315,-112.3990341
501-92-104,GREENWAYPARC1,15366 N 156TH LN SURPRISE 85379,33.62373274,-112.3989274
501-92-105,GREENWAYPARC1,15688 W CARIBBEAN LN SURPRISE 85379,33.62381,-112.3987074
501-92-106,GREENWAYPARC1,15682 W CARIBBEAN LN SURPRISE 85379,33.62378729,-112.3985142
501-92-107,GREENWAYPARC1,15676 W CARIBBEAN LN SURPRISE 85379,33.62378546,-112.39835
501-92-108,GREENWAYPARC1,15670 W CARIBBEAN LN SURPRISE 85379,33.62378379,-112.3981858
501-92-109,GREENWAYPARC1,15664 W CARIBBEAN LN SURPRISE 85379,33.62378212,-112.3980215
501-92-110,GREENWAYPARC1,15658 W CARIBBEAN LN SURPRISE 85379,33.62378044,-112.3978573
501-92-111,GREENWAYPARC1,15652 W CARIBBEAN LN SURPRISE 85379,33.62378306,-112.3976866
501-92-112,GREENWAYPARC1,15646 W CARIBBEAN LN SURPRISE 85379,33.62377598,-112.3975076
501-92-113,GREENWAYPARC1,15640 W CARIBBEAN LN SURPRISE 85379,33.6237452,-112.3973346
501-92-114,GREENWAYPARC1,15634 W CARIBBEAN LN SURPRISE 85379,33.6236874,-112.3971755
501-92-115,GREENWAYPARC1,15628 W CARIBBEAN LN SURPRISE 85379,33.62354559,-112.3969707
501-92-116,GREENWAYPARC1,15622 W CARIBBEAN LN SURPRISE 85379,33.62373512,-112.3968441
501-92-117,GREENWAYPARC1,15616 W CARIBBEAN LN SURPRISE 85379,33.62378178,-112.396549
501-92-118,GREENWAYPARC1,15610 W CARIBBEAN LN SURPRISE 85379,33.62362917,-112.3962902
501-92-119,GREENWAYPARC1,15604 W CARIBBEAN LN SURPRISE 85379,33.62337983,-112.3962909
501-92-120,GREENWAYPARC1,15374 N 155TH LN SURPRISE 85379,33.62339309,-112.3959222
501-92-121,GREENWAYPARC1,15386 N 155TH LN SURPRISE 85379,33.623652,-112.3959022
501-92-122,GREENWAYPARC1,15398 N 155TH LN SURPRISE 85379,33.62377501,-112.3956529
501-92-123,GREENWAYPARC1,15387 N 155TH LN SURPRISE 85379,33.62345087,-112.3952334
501-92-124,GREENWAYPARC1,15375 N 155TH LN SURPRISE 85379,33.62331322,-112.3952346
501-92-125,GREENWAYPARC1,15351 N 155TH LN SURPRISE 85379,33.62303842,-112.3952386
501-92-126,GREENWAYPARC1,15339 N 155TH LN SURPRISE 85379,33.62290102,-112.3952406
501-92-127,GREENWAYPARC1,15566 W ACAPULCO LN SURPRISE 85379,33.62268432,-112.3953228
501-92-128,GREENWAYPARC1,15560 W ACAPULCO LN SURPRISE 85379,33.62267963,-112.3951428
501-92-129,GREENWAYPARC1,15554 W ACAPULCO LN SURPRISE 85379,33.62267897,-112.3949786
501-92-130,GREENWAYPARC1,15548 W ACAPULCO LN SURPRISE 85379,33.62267678,-112.3948135
501-92-131,GREENWAYPARC1,15542 W ACAPULCO LN SURPRISE 85379,33.6226751,-112.3946493
501-92-132,GREENWAYPARC1,15536 W ACAPULCO LN SURPRISE 85379,33.62266422,-112.3944826
501-92-133,GREENWAYPARC1,15543 W ACAPULCO LN SURPRISE 85379,33.62223293,-112.3946538
501-92-134,GREENWAYPARC1,15549 W ACAPULCO LN SURPRISE 85379,33.6222372,-112.3948298
501-92-135,GREENWAYPARC1,15555 W ACAPULCO LN SURPRISE 85379,33.62223887,-112.394994
501-92-136,GREENWAYPARC1,15561 W ACAPULCO LN SURPRISE 85379,33.62224055,-112.3951582
501-92-137,GREENWAYPARC1,15567 W ACAPULCO LN SURPRISE 85379,33.62223988,-112.3953342
501-92-138,GREENWAYPARC1,15564 W PORT AU PRINCE LN SURPRISE 85379,33.62194253,-112.3953386
501-92-139,GREENWAYPARC1,15558 W PORT AU PRINCE LN SURPRISE 85379,33.62193827,-112.3951627
501-92-140,GREENWAYPARC1,15552 W PORT AU PRINCE LN SURPRISE 85379,33.62193659,-112.3949984
501-92-141,GREENWAYPARC1,15546 W PORT AU PRINCE LN SURPRISE 85379,33.62193491,-112.3948342
501-92-142,GREENWAYPARC1,15540 W PORT AU PRINCE LN SURPRISE 85379,33.62193558,-112.3946582
501-92-143,GREENWAYPARC1,15535 W PORT AU PRINCE LN SURPRISE 85379,33.62150092,-112.3944996
501-92-144,GREENWAYPARC1,15541 W PORT AU PRINCE LN SURPRISE 85379,33.62149345,-112.3946665
